University,Country
Technische Universität Ilmenau,Germany
Portland State University,United States
University of California Riverside,United States
Hochschule für Technik und Wirtschaft Mittweida,Germany
Universidad Pontificia Comillas,Spain
Newcastle University,United Kingdom
University of North Carolina at Asheville,United States
University of Waterloo,Canada
University of Southern Denmark,Denmark
Olin College of Engineering,United States
Hochschule Esslingen,Germany
Democritus University of Thrace,Greece
McMaster University,Canada
Kookmin University,South Korea
University of Utah,United States
Istanbul Technical University,Turkey
Texas A&M University,United States
Technische Hochschule Ostwestfalen-Lippe,Germany
Universität Duisburg-Essen,Germany
Cairo University,Egypt
King Mongkut's University of Technology Thonburi,Thailand
University of Iowa,United States
Instituto Superior de Engenharia de Lisboa,Portugal
Liverpool John Moores University,United Kingdom
University of Iceland,Iceland
Technische Universität Dortmund,Germany
California Baptist University,United States
Università degli studi di Trieste,Italy
Hochschule Aalen - Technik und Wirtschaft,Germany
Ghent University,Belgium
San Diego State University,United States
Hubei University of Automotive Technology,China
Seikei University,Japan
Guangxi Science and Technology University Lushan College,China
Loughborough University,United Kingdom
Fachhochschule Osnabrück,Germany
University of California Irvine,United States
University of Maryland,United States
Shizuoka Institute of Science and Technology,Japan
University of Oxford,United Kingdom
University of Agder,Norway
Rutgers The State University of New Jersey,United States
Gadjah Mada University,Indonesia
National Cheng Kung University,Taiwan
National Taipei University of Technology,Taiwan
University of California - Santa Cruz,United States
Brunel University London,United Kingdom
Kanagawa Institute of Technology,Japan
Hochschule Landshut,Germany
Technische Universität Berlin,Germany
Duale Hochschule Baden-Württemberg Mosbach,Germany
Technische Universität Graz,Austria
Slovak University of Technology in Bratislava,Slovakia
Fachhochschule für Wirtschaft und Technik,Germany
Westsächsische Hochschule Zwickau,Germany
Imperial College London,United Kingdom
RMIT University,Australia
Manchester Metropolitan University,United Kingdom
Deggendorf Institute of Technology,Germany
Universität Siegen,Germany
Hochschule Karlsruhe - Technik und Wirtschaft,Germany
Ostbayerische Technische Hochschule Regensburg,Germany
Technische Universität Clausthal,Germany
Rheinisch-Westfälische Technische Hochschule Aachen,Germany
Swinburne University of Technology,Australia
Hochschule RheinMain,Germany
Budapest University of Technology and Economics,Hungary
Fachhochschule Kiel,Germany
Duale Hochschule Baden-Württemberg Stuttgart,Germany
Indian Institute of Technology Bombay,India
Universidad Politécnica de Madrid (UPM),Spain
Technische Universität Bergakademie Freiberg,Germany
Technical University of Munich,Germany
KTH Royal Institute of Technology,Sweden
Thomas More Mechelen - De Nayer,Belgium
Hochschule für angewandte Wissenschaften Augsburg,Germany
University of the Basque Country,Spain
Politecnico di Torino,Italy
Ostfalia University of Applied Sciences,Germany
Technische Universiteit Eindhoven,Netherlands
Technische Universität Braunschweig,Germany
TECNUN - University of Navarra,Spain
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,Spain
Tallinn TU UAS,Estonia
Saarland University,Germany
Niigata Institute of Technology,Japan
Daido Institute of Technology,Japan
Georg-Simon-Ohm-Hochschule Nürnberg,Germany
Università degli Studi di Roma La Sapienza,Italy
Tohoku University,Japan
Universität Bremen,Germany
Hochschule Darmstadt UAS,Germany
Moscow State Automobile & Road Technical University - MADI,Russia
University of Western Australia,Australia
Kingston University,United Kingdom
Islamic Azad University of Karaj,Iran
Hochschule Bonn-Rhein-Sieg,Germany
Technische Universität Wien,Austria
Universität der Bundeswehr München,Germany
University of Stavanger,Norway
Hefei University of Technology,China
Escola d'Enginyeria de Barcelona Est. EEBE,Spain
Hochschule für Angewandte Wissenschaften Hof,Germany
Toyota Technical College Nagoya,Japan
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),Spain
Hochschule Niederrhein,Germany
Coventry University,United Kingdom
University of Leicester,United Kingdom
University of Alcalá,Spain
Beijing Institute of Technology,China
Harbin Institute of Technology at Weihai,China
Universidad Politécnica de Cartagena,Spain
Université Laval,Canada
Tongji University,China
Ben-Gurion University of the Negev,Israel
R.V.College of Engineering,India
Bern University of Applied Sciences,Switzerland
Indian Institute of Technology Roorkee,India
University of Technology Sydney,Australia
SRM Institute of Science and Technology - Kattankulathur,India
University of Queensland,Australia
Hochschule Ruhr West - UAS,Germany
ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),France
Queensland University of Technology,Australia
University of Bristol,United Kingdom
Universidad de Oviedo,Spain
Kyushu Institute of Technology,Japan
University of Auckland,New Zealand
Rhein-Waal University of Applied Sciences,Germany
Massachusetts Institute of Technology,United States
University of Canterbury,New Zealand
University of California Davis,United States
University of Wisconsin-Madison,United States
California State Polytechnic University - San Luis Obispo,United States
San José State University,United States
VIT University - Chennai,India
Universidad Nacional Autónoma de México,Mexico
Aristotle University of Thessaloniki,Greece
University of Pennsylvania,United States
University of Bath,United Kingdom
Universidad Politecnica Salesiana,Ecuador
Lancaster  University,United Kingdom
The Hague University of Applied Sciences,Netherlands
ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),France
Hochschule Düsseldorf,Germany
McGill University,Canada
Kanagawa University,Japan
Nagoya University,Japan
California Institute of Technology,United States
University of Texas at San Antonio,United States
Monash University,Australia
Georgia Institute of Technology,United States
Pakistan Institute of Engineering & Applied Sciences,Pakistan
Liaoning University of Technology,China
Universität Kassel,Germany
AGH University of Science and Technology,Poland
University of Seville,Spain
Universidad de Castilla-La Mancha,Spain
Central South University - Changsha,China
Toyohashi University of Technology,Japan
University of Melbourne,Australia
University of Tasmania,Australia
University of Adelaide,Australia
University of Wollongong,Australia
Kennesaw State University,United States
The University of Newcastle,Australia
Western University,Canada
University of Warwick,United Kingdom
University of Burgundy - ISAT,France
University College Dublin,Ireland
University of Ontario Institute of Technology,Canada
Università degli Studi di Napoli Federico II,Italy
University of Zagreb,Croatia
Belgorod state technological university named after V. G. Shukhov,Russia
UAS Würzburg-Schweinfurt,Germany
Jilin University,China
Sepuluh Nopember Institute of Technology,Indonesia
Rajshahi University of Engineering & Technology,Bangladesh
University of South Australia,Australia
Universität Paderborn,Germany
University of New South Wales,Australia
Warsaw University of Technology,Poland
Brno University of Technology,Czech Republic
COEP Technological University,India
Ramaiah Institute of Technology,India
Leopold-Franzens-Universität Innsbruck,Austria
École de Technologie Superieure,Canada
Sardar Patel College of Engineering Mumbai,India
Delhi Technological University,India
University of Cincinnati,United States
University of Minnesota Twin Cities,United States
University of Toronto,Canada
University of Sussex,United Kingdom
University of Colorado - Colorado Springs,United States
University of Southern California,United States
University of Southampton,United Kingdom
Western Washington University,United States
University of California Berkeley,United States
Technical University of Denmark,Denmark
Vrije Universiteit Brussel,Belgium
University of Belgrade (Универзитет у Београду),Serbia
Queen's University Belfast,United Kingdom
Otto-von-Guericke-Universität Magdeburg,Germany
University of Birmingham,United Kingdom
Ryerson University,Canada
Ruhr-Universität Bochum,Germany
Linköping University,Sweden
Hochschule Pforzheim,Germany
University of Applied Sciences Ravensburg-Weingarten,Germany
Drexel University,United States
Ulm University of Applied Sciences,Germany
Wroclaw University of Technology,Poland
Zürcher Hochschule für Angewandte Wissenschaften,Switzerland
Technical University of Cluj-Napoca,Romania
