University,Country
Missouri University of Science and Technology,United States
University of Bath,United Kingdom
Université du Québec à Trois-Rivières,Canada
Bradley University,United States
Lancaster  University,United Kingdom
Coventry University,United Kingdom
University of Alberta,Canada
Swansea University,United Kingdom
University of Toledo,United States
University of New Mexico,United States
Oxford Brookes University,United Kingdom
College of Science and Technology Nihon University,Japan
University of Calgary,Canada
Vanderbilt University,United States
United States Air Force Academy,United States
Colorado State University,United States
Université du Québec à Chicoutimi,Canada
Ryerson University,Canada
IMT Nord Europe - Douai,France
University of New South Wales,Australia
University of Tasmania,Australia
University Of Hertfordshire,United Kingdom
Australian National University,Australia
University of Sydney,Australia
Lehigh University,United States
Université de Sherbrooke,Canada
Swinburne University of Technology,Australia
Monash University,Australia
RMIT University,Australia
University of Louisiana at Lafayette,United States
TU Delft,Netherlands
University College Dublin,Ireland
University of Adelaide,Australia
LeTourneau University,United States
The Ohio State University,United States
Rutgers The State University of New Jersey,United States
Saginaw Valley State University,United States
University of Pittsburgh,United States
University of Cincinnati,United States
Michigan Technological University,United States
Rensselaer Polytechnic Institute,United States
Worcester Polytechnic Institute,United States
Clarkson University,United States
North Carolina Agricultural and Technical State University,United States
University of Technology Sydney,Australia
Northern Illinois University,United States
University of Delaware,United States
Sophia University,Japan
Deakin University,Australia
FAMU-FSU College of Engineering,United States
Instituto Tecnológico de Chihuahua,Mexico
University of Kentucky,United States
New Jersey Institute of Technology,United States
University of Michigan - Ann Arbor,United States
Helsinki Metropolia University of Applied Sciences,Finland
Texas A&M University,United States
Brunel University London,United Kingdom
University of Maribor,Slovenia
Università degli Studi di Ferrara,Italy
California State University Long Beach,United States
University of Huddersfield,United Kingdom
University of the West of Scotland,United Kingdom
Rheinisch-Westfälische Technische Hochschule Aachen,Germany
University of Strathclyde,United Kingdom
University of Victoria,Canada
University of Wales Trinity Saint David,United Kingdom
Luleå University of Technology,Sweden
San Diego State University,United States
Carnegie Mellon University,United States
Chalmers University of Technology,Sweden
Sheffield Hallam University,United Kingdom
City University London,United Kingdom
University of Western Australia,Australia
University of Leeds,United Kingdom
University of Melbourne,Australia
Aston University,United Kingdom
University of Warwick,United Kingdom
Imperial College London,United Kingdom
University of Wollongong,Australia
University of Texas at Arlington,United States
University of Queensland,Australia
University of Guelph,Canada
University of Idaho,United States
University of North Dakota,United States
Tennessee Technological University,United States
University of Wisconsin-Platteville,United States
Fanshawe College,Canada
Western Michigan University,United States
Milwaukee School of Engineering,United States
University of South Australia,Australia
Technische Universität Braunschweig,Germany
Università degli Studi di Firenze,Italy
Universidade Independente,Portugal
Massachusetts Institute of Technology,United States
University of Ulster,United Kingdom
Georgia Southern University,United States
Portland State University,United States
Fachhochschule Stralsund,Germany
Kanazawa University,Japan
University of Windsor,Canada
Doshisha University,Japan
University of Delhi,India
Meijo University,Japan
Tokyo Denki University,Japan
Tokyo Metropolitan College of Industrial Technology,Japan
Nagoya Institute of Technology,Japan
Curtin University,Australia
Loughborough University,United Kingdom
Rochester Institute of Technology,United States
The University of Tokyo,Japan
National University of Singapore,Singapore
Universidad Simón Bolívar,Venezuela
University of Maryland,United States
Tokyo City University,Japan
University of Southampton,United Kingdom
University of New Hampshire,United States
University of Colorado Denver,United States
Cedarville University,United States
Polytechnic University of Puerto Rico,Puerto Rico
Middle Tennessee State University,United States
University of Toronto,Canada
Technical University of Munich,Germany
University of Burgundy - ISAT,France
Kookmin University,South Korea
University of Central Lancashire,United Kingdom
Universidad Metropolitana,Venezuela
Wayne State University,United States
University of Patras,Greece
Columbia University,United States
Hochschule für Angewandte Wissenschaften Hamburg,Germany
University of Sunderland,United Kingdom
Shibaura Institute of Technology,Japan
Cardiff University Wales,United Kingdom
Keio University,Japan
Kinki University,Japan
Shizuoka University,Japan
Kyoto University,Japan
Osaka University,Japan
College of Industrial Technology Nihon University,Japan
Universidade de Lisboa - Instituto Superior Técnico,Portugal
Fukui University of Technology,Japan
University of Alabama,United States
KTH Royal Institute of Technology,Sweden
Utsunomiya University,Japan
Kanazawa Institute of Technology,Japan
Technische Universität Graz,Austria
The University of Newcastle,Australia
Queensland University of Technology,Australia
University of New South Wales - Australian Defence Force Academy,Australia
University of Modena and Reggio Emilia,Italy
Daido Institute of Technology,Japan
Federation University Australia,Australia
University of Auckland,New Zealand
Nagoya University,Japan
Case Western Reserve University,United States
Universidade de Brasília,Brazil
University of California Berkeley,United States
Texas Tech University,United States
University of South Florida,United States
Universidad Central de Venezuela,Venezuela
Meisei University,Japan
Saint Louis University,United States
École nationale d'aérotechnique,Canada
Universidad Católica Andrés Bello,Venezuela
Fachhochschule Joanneum Graz,Austria
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany
University of Nottingham,United Kingdom
Binghamton University,United States
University of Sussex,United Kingdom
Ostfalia University of Applied Sciences,Germany
University of Southern Queensland,Australia
Tokyo University of Science,Japan
Chiba University,Japan
University of Manchester,United Kingdom
University of Ulsan,South Korea
Tokyo University of Agriculture and Technology,Japan
Kogakuin University,Japan
Kyushu Institute of Technology,Japan
Kobe University,Japan
Faculty of Textile Science & Technology. Shinshu University,Japan
Kochi University of Technology,Japan
Ritsumeikan University,Japan
Tokai University,Japan
Waseda University,Japan
Politecnico di Torino,Italy
University of Portland,United States
Okayama University,Japan
Hochschule Offenburg,Germany
Hoseo University,South Korea
Technische Universiteit Eindhoven,Netherlands
Yokohama National University,Japan
Ibaraki University,Japan
Universidad Politécnica de Madrid (UPM),Spain
Politecnico di Milano,Italy
Victoria University Australia,Australia
Honda Technical College Kanto,Japan
St. Cloud State University,United States
Florida Atlantic University,United States
Chungbuk National University,South Korea
Universidad Panamericana Sede México,Mexico
University of Pennsylvania,United States
Southern Illinois University Edwardsville,United States
Embry-Riddle Aeronautical University,United States
R.V.College of Engineering,India
City College of The City University of New York,United States
Lafayette College,United States
Washington State University,United States
Escola de Engenharia de São Carlos da Universidade de São Paulo,Brazil
Montana State University - Bozeman,United States
Universidad Autónoma del Estado de México,Mexico
Kumoh National Institute of Technology,South Korea
Centro Universitário Facens,Brazil
University of Zagreb,Croatia
Universidad del Zulia,Venezuela
Universidad Iberoamericana,Mexico
Technische Universität Darmstadt,Germany
Brigham Young University,United States
Duale Hochschule Baden-Württemberg Ravensburg,Germany
University of Liverpool,United Kingdom
Fachhochschule Konstanz,Germany
Delhi Technological University,India
Technische Universität Dortmund,Germany
Hochschule für Technik und Wirtschaft Berlin,Germany
Ulm University of Applied Sciences,Germany
Universität Stuttgart,Germany
Universität Bayreuth,Germany
Fachhochschule Kiel,Germany
Fachhochschule München,Germany
Università del Salento,Italy
Technische Universität Berlin,Germany
Aalborg University,Denmark
Moscow State Automobile & Road Technical University - MADI,Russia
Osaka Metropolitan University,Japan
Korea University of Technology and Education,South Korea
Tokyo Metropolitan University,Japan
Università degli studi di Padova,Italy
Universidad de Oriente Venezuela,Venezuela
University College London,United Kingdom
Università degli Studi di Catania,Italy
Institute of Technologists,Japan
Toyohashi University of Technology,Japan
University of Fukui,Japan
Gifu University,Japan
Shizuoka Institute of Science and Technology,Japan
Centro Universitário da FEI,Brazil
Miami University,United States
Cooper Union,United States
Chiba Institute of Technology,Japan
Universidad Nacional Experimental Politécnica,Venezuela
Ferris State University,United States
York College of Pennsylvania,United States
University of Ontario Institute of Technology,Canada
University of Waikato,New Zealand
Pittsburg State University,United States
Wichita State University,United States
Hunan University,China
Universidad Interamericana de Puerto Rico,Puerto Rico
Cégep du Vieux Montréal,Canada
Universiti Teknologi Petronas,Malaysia
Universidade Paulista,Brazil
Lund University,Sweden
Barcelona School of Industrial Engineering - ETSEIB - UPC,Spain
University of Alabama at Birmingham,United States
Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,Mexico
Birla Institute of Technology Mesra,India
Indian Institute of Technology Delhi,India
Southern Taiwan University of Technology,Taiwan
North East Wales Institute of Higher Education,United Kingdom
Manchester Metropolitan University,United Kingdom
UAS Würzburg-Schweinfurt,Germany
ETH Zürich,Switzerland
Fachhochschule Osnabrück,Germany
Technische Hochschule Köln,Germany
Universität Paderborn,Germany
Westsächsische Hochschule Zwickau,Germany
Technische Universität Bergakademie Freiberg,Germany
Berlin School of Economics,Germany
Dalhousie University,Canada
Bergische Universität Wuppertal,Germany
Honda Technical College Kansai,Japan
University of Yamanashi,Japan
University of Hawaii at Manoa,United States
Kyoto Institute of Technology,Japan
Saarland University,Germany
Osaka Sangyo University,Japan
K. J. Somaiya College of Engineering,India
Fachhochschule Dortmund,Germany
Hokkaido University,Japan
Hochschule Esslingen,Germany
Aristotle University of Thessaloniki,Greece
Newcastle University,United Kingdom
Kunsan National University,South Korea
Akita Prefectural University,Japan
Hochschule Karlsruhe,Germany
Università degli Studi di Roma La Sapienza,Italy
Kurume Institute of Technology,Japan
Universidade Federal do Rio de Janeiro,Brazil
Universidade Estadual de Campinas,Brazil
Seikei University,Japan
Centro Federal de Educação Tecnológica de Minas Gerais,Brazil
Universidade Tecnológica Federal do Paraná,Brazil
Karlsruhe Institute of Technology,Germany
Universidade Federal Fluminense - Niterói,Brazil
Instituto Mauá de Tecnologia,Brazil
Central Piedmont Community College,United States
Sojo University,Japan
University of Malta,Malta
Indian Institute of Technology Bombay,India
Universidade Federal do Ceará,Brazil
Northwestern University,United States
Shanghai Jiao Tong University,China
Oregon Institute of Technology,United States
Tallinn TU UAS,Estonia
Instituto Superior de Engenharia de Coimbra,Portugal
University of Glasgow,United Kingdom
Bharati Vidyapeeth College of Engineering,India
Technische Universität Wien,Austria
Polytechnic Institute of Leiria,Portugal
Budapest University of Technology and Economics,Hungary
Fachhochschule Coburg,Germany
Hochschule RheinMain,Germany
Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,Germany
Politecnico di Bari,Italy
Technische Universität Dresden,Germany
Hochschule für Technik und Wirtschaft Mittweida,Germany
TAMK University of Applied Sciences,Finland
University of Southern Denmark,Denmark
Fachhochschule Aachen,Germany
Brandenburgische Technische Universität Cottbus,Germany
UAS Kempten,Germany
Fachhochschule für Wirtschaft und Technik,Germany
University of Applied Sciences Ravensburg-Weingarten,Germany
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany
Kyushu Sangyo University,Japan
Toyota Technical College Nagoya,Japan
University of Cambridge,United Kingdom
Thapar Institute of Engineering and Technology,India
Karlstad University,Sweden
Nippon Institute of Technology,Japan
Fachhochschule Frankfurt am Main,Germany
Saitama Institute of Technology,Japan
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Germany
Manipal Academy of Higher Education,India
King Mongkut's Institute of Technology Ladkrabang,Thailand
Moscow Polytechnic University,Russia
Osaka Institute of Technology,Japan
Ramaiah Institute of Technology,India
Laxmi Devi Institute of Engineering & Technology,India
Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,Brazil
Università degli Studi di Cagliari,Italy
Guru Gobind Singh Indraprastha University,India
Università della Calabria,Italy
Chitkara University Punjab,India
PES Institute of Technology,India
Edith Cowan University,Australia
Università degli Studi di Roma Tor Vergata,Italy
Università degli Studi di Parma,Italy
Lakehead University,Canada
Università di Pisa,Italy
University of Minnesota Duluth,United States
University of the Basque Country,Spain
San José State University,United States
Xiamen University of Technology,China
Villanova University,United States
Slovak University of Technology in Bratislava,Slovakia
Universidade Estadual Paulista - Guaratinguetá,Brazil
University of Aberdeen,United Kingdom
Universitatea Transilvania din Braşov,Romania
Ostbayerische Technische Hochschule Regensburg,Germany
University of Surrey,United Kingdom
University of Dundee,United Kingdom
Duale Hochschule Baden-Württemberg Stuttgart,Germany
Deggendorf Institute of Technology,Germany
Czech Technical University in Prague,Czech Republic
University of Illinois at Chicago,United States
University of Portsmouth,United Kingdom
Hochschule Bonn-Rhein-Sieg,Germany
University of California Riverside,United States
Technische Hochschule Ostwestfalen-Lippe,Germany
Università degli Studi della Tuscia,Italy
Leibniz Universität Hannover,Germany
Ceylon-German Technical Training Institute,Sri Lanka
Hochschule Darmstadt UAS,Germany
Tongji University,China
Rayat Institute of Engineering and Information Technology,India
Shonan Institute of Technology,Japan
Niigata University,Japan
Hochschule Hannover,Germany
Universität Siegen,Germany
King Mongkut's University of Technology Thonburi,Thailand
Tokyo Institute of Technology,Japan
Tottori University,Japan
Universidade Paulista - Sorocaba,Brazil
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil
Hope College,United States
Istanbul Technical University,Türkiye
Yamagata University,Japan
PEC University of Technology,India
J.S.S. Academy of Technical Education Noida,India
Escola Politécnica da Universidade de São Paulo,Brazil
VIT University - Vellore,India
Liverpool John Moores University,United Kingdom
Iran University of Science and Technology - Arak,Iran
California State University Fullerton,United States
Universidad Politécnica de Cartagena,Spain
Warsaw University of Technology,Poland
Gujarat Technological University,India
Białystok University of Technology,Poland
Rzeszów University of Technology,Poland
Escola Politècnica Superior d'Enginyeria de Manresa,Spain
Széchenyi István University,Hungary
Universitat Politécnica de Valéncia,Spain
California Baptist University,United States
University of Nebraska–Lincoln,United States
AGH University of Science and Technology,Poland
University of Virginia,United States
Sanyo-Onoda City University at Tokyo University of Science,Japan
University of Oulu,Finland
The University of Texas at Dallas,United States
SRM Institute of Science and Technology - Kattankulathur,India
Pune Vidyarti Griha's college of Engineering and Technology,India
University Carlos III of Madrid,Spain
University of Toyama,Japan
Recinto Universitario de Mayagüez,Puerto Rico
Nirma University,India
University of Seville,Spain
Gdańsk University of Technology,Poland
University of Ottawa,Canada
University of Wolverhampton,United Kingdom
University of Cadiz,Spain
University of Sheffield,United Kingdom
University of Malaga,Spain
Ain Shams University,Egypt
University of Split,Croatia
ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),France
VIT University - Chennai,India
University of Georgia,United States
Indian Institute of Technology Kharagpur,India
Universitatea Politehnica Timișoara,Romania
Gadjah Mada University,Indonesia
University Politehnica Of Bucharest,Romania
Trinity College University of Dublin,Ireland
California State University Chico,United States
Missouri State University,United States
Technical University of Liberec,Czech Republic
University of Cyprus,Cyprus
University of Kocaeli,Türkiye
Ferdowsi University of Mashad,Iran
University of Indonesia,Indonesia
St. Vincent Pallotti College of Engineering and Technology,India
BMS College of Engineering,India
University of Edinburgh,United Kingdom
Purdue University - Northwest,United States
University of Exeter,United Kingdom
National University of Sciences and Technology - Karachi,Pakistan
Shri G.S. Institute of Technology and Science Indore,India
University of Bolton,United Kingdom
Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,Spain
Universitat Jaume I,Spain
Central Michigan University,United States
Pillai College Of Engineering,India
Universidad Europea de Madrid,Spain
FH Campus Wien,Austria
Óbuda University,Hungary
Marathwada Mitra Mandal's College of Engineering,India
Kasetsart University,Thailand
Sebelas Maret University,Indonesia
Thakur College of Engineering and Technology,India
Netaji Subhas Institute of Technology,India
University Putra Malaysia,Malaysia
University Institute of Technology RGPV Bhopal,India
Penn State Harrisburg,United States
Khulna University of Engineering & Technology,Bangladesh
Eskişehir Technical University,Türkiye
CESI École d’ingénieurs - Nanterre,France
Universidade NOVA de Lisboa,Portugal
Amrita School of Engineering Coimbatore,India
J.C. Bose University of Science and Technology YMCA,India
Izmir Katip Celebi University,Türkiye
Birmingham City University,United Kingdom
Odessa Polytechnic National State University,Ukraine
Glasgow Caledonian University,United Kingdom
Sikkim Manipal Institute of Technology,India
Ataturk University,Türkiye
École Nationale Supérieure des Arts et Métiers de Lille,France
Gebze Technical University,Türkiye
Universidad Autónoma de Baja California,Mexico
Midwestern State University,United States
Alabama A&M University,United States
Rajendra Mane College of Engineering and Technology,India
Hiroshima University,Japan
Universidad de Córdoba,Spain
University of Rijeka,Croatia
Wroclaw University of Technology,Poland
Technische Universität Ilmenau,Germany
Ruhr-Universität Bochum,Germany
Hochschule Mannheim,Germany
Alexandria University,Egypt
GFR DHBW Ravensburg & Oregon State University,Germany / United States
Isfahan University of Technology,Iran
Technische Hochschule Mittelhessen,Germany
Otto-von-Guericke-Universität Magdeburg,Germany
Alma Mater Studiorum - Università di Bologna,Italy
Universidad Nacional Autónoma de México,Mexico
Université de Versailles-Saint-Quentin-en-Yvelines,France
Ecole Nationale d'Ingénieurs de Metz,France
Nihon Automobile College,Japan
Osaka Prefecture University,Japan
Rajiv Gandhi Institute of Technology - Kottayam,India
Thai-Nichi Institute of Technology,Thailand
WIZ International College of Information and Technology,Japan
Heriot-Watt University,United Kingdom
Hindustan Institute of Technology and Science,India
Setsunan University,Japan
Hiroshima Institute of Technology,Japan
Aichi Institute of Technology,Japan
Federal University of Paraíba,Brazil
Chulalongkorn University,Thailand
Universidade Federal de Santa Maria,Brazil
Rose-Hulman Institute of Technology,United States
National Institute of Technology - Karnataka,India
Indiana University – Purdue University Indianapolis,United States
Ana G. Méndez University - Gurabo,Puerto Rico
ESIA San Luis Potosi,Mexico
California State University Los Angeles,United States
Brno University of Technology,Czech Republic
National Institute of Technology - Jamshedpur,India
Karel de Grote University College,Belgium
Technological University Dublin,Ireland
Instituto Politécnico Nacional,Mexico
Universidad de las Fuerzas Armadas - ESPE,Ecuador
TECNUN - University of Navarra,Spain
Universität Kassel,Germany
Nelson Mandela Metropolitan University,South Africa
Hanze University of Applied Sciences Groningen,Netherlands
John von Neumann University,Hungary
M.H. Saboo Siddik College of Engineering,India
Thomas More Mechelen - De Nayer,Belgium
Ben-Gurion University of the Negev,Israel
University of Messina,Italy
Hochschule Heilbronn,Germany
Aso College of Automotive Engineering and Technology,Japan
Aoyama Gakuin University,Japan
Beijing Institute of Technology,China
National Technical University of Athens,Greece
Universidade Federal de Minas Gerais,Brazil
Universidade Federal de Santa Catarina,Brazil
UNESP - Campus de Ilha Solteira,Brazil
Universidade Federal de Santa Catarina - Joinville,Brazil
Siam University,Thailand
Indian Institute of Technology Roorkee,India
Hokkaido Automotive Engineering College,Japan
Universidade Federal do Rio Grande do Sul,Brazil
Universidade Federal da Bahia,Brazil
University of Maine,United States
Florida International University,United States
University of Massachusetts Dartmouth,United States
University of St. Thomas,United States
University of North Florida,United States
University of Belgrade,Serbia
Cairo University,Egypt
Helwan University (‏جامعة حلوان),Egypt
University of Hull,United Kingdom
Linköping University,Sweden
Uludağ University,Türkiye
Østfold University College,Norway
Czech University of Life Sciences Prague,Czech Republic
Cape Peninsula University of Technology,South Africa
Indian Institute of Technology Madras,India
Hochschule Pforzheim,Germany
Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,Mexico
Okayama University of Science,Japan
Norwegian University of Science and Technology,Norway
Birla Institute of Technology & Science  Pilani,India
University of Stavanger,Norway
Prince of Songkla University,Thailand
Harbin Institute of Technology at Weihai,China
Institute of Technology Bandung,Indonesia
University of West Bohemia,Czech Republic
Peoples' Friendship University of Russia,Russia
Universidade Federal de Itajubá - Itajubá,Brazil
Polo Universitario de Volta Redonda - Universidade Federal Fluminense,Brazil
Bangalore Institute of Technology,India
Universidade Federal de São Carlos,Brazil
Universidade Federal de Itajubá - Itabira,Brazil
Hochschule Niederrhein,Germany
Seoul National University of Science and Technology,South Korea
University of North Texas,United States
Sinhgad College of Engineering Vadgaon,India
Gheorghe Asachi Technical University of Iaşi,Romania
National Institute of Technology - Calicut,India
Tsinghua University,China
Universität der Bundeswehr München,Germany
Hubei University of Automotive Technology,China
Technion - Israel Institute of Technology,Israel
University of Thessaly,Greece
Tel Aviv University,Israel
Bauman Moscow State Technical University,Russia
Nizhny Novgorod State Technical University,Russia
Universidad de Castilla-La Mancha,Spain
Shizuoka Professional College of Automobile Technology,Japan
Ural State University of Railway Transport,Russia
Tyumen Industrial University,Russia
Universidade Federal de São João del Rei,Brazil
Universidade Federal de Sergipe,Brazil
University of Canterbury,New Zealand
University of Perugia,Italy
Indian Institute of Technology Kanpur,India
Escola de Engenharia de Lorena da Universidade de São Paulo,Brazil
University of California Los Angeles,United States
Universidad Politecnica Salesiana,Ecuador
Philadelphia University,United States
Yıldız Technical University,Türkiye
University of Northampton,United Kingdom
CentraleSupélec - Université Paris-Saclay,France
Dwarkadas. J. Sanghvi College of Engineering,India
University of the West of England,United Kingdom
Manav Rachna International University,India
Dr. Mahalingam College of Engineering and Technology,India
University of Brescia,Italy
École Centrale de Lyon,France
Marche Polytechnic University,Italy
University of Valladolid,Spain
Sepuluh Nopember Institute of Technology,Indonesia
Universidade Comunitária Regional de Chapecó,Brazil
Maejo University,Thailand
James Cook University,Australia
São Paulo State University - UNESP - Bauru,Brazil
Colorado Mesa University,United States
University of Derby,United Kingdom
Jordan University of Science and Technology,Jordan
De Montfort University,United Kingdom
Universidad de Vigo,Spain
Poznan University of Technology,Poland
Universitat de Girona,Spain
Universitas Negeri Yogyakarta,Indonesia
Liaoning University of Technology,China
University of Mostar,Bosnia and Herzegovina
VŠB - Technical University of Ostrava,Czech Republic
National Technical University of Ukraine Kyiv Polytechnic Institute,Ukraine
The University of Kitakyushu,Japan
University of Miskolc,Hungary
HMR Institute of Technology & Management,India
Chaitanya Bharathi Institute of Technology,India
Sri Venkateswara College of Engineering,India
Griffith University,Australia
Taylor's University,Malaysia
Università degli Studi di Napoli Federico II,Italy
University of Houston,United States
Grand Valley State University,United States
University of British Columbia - Okanagan,Canada
Reykjavík University,Iceland
University of Moratuwa,Sri Lanka
Aligarh Muslim University,India
Southern Methodist University,United States
University of New Brunswick,Canada
Technical University of Sofia,Bulgaria
Bhartiya Institute of Engineering and Technology,India
Mansoura University,Egypt
Hacettepe University,Türkiye
Universidade Federal de Mato Grosso,Brazil
Togliatti State University,Russia
Silesian University of Technology,Poland
University of Ljubljana,Slovenia
NED University of Engineering and Technology,Pakistan
PSG College of Technology,India
Birla Institute of Science and Technology Pilani - Dubai,United Arab Emirates
HAN University of Applied Sciences,Netherlands
Universidad Rey Juan Carlos,Spain
Instituto Superior de Engenharia de Lisboa,Portugal
National Taipei University of Technology,Taiwan
Zhejiang University City College,China
National Tsing Hua University,Taiwan
Ajou University,South Korea
Kyushu University,Japan
UniSALESIANO Araçatuba,Brazil
Universiti Teknologi MARA,Malaysia
Flinders University,Australia
DHA Suffa University,Pakistan
Universidade Federal do Paraná,Brazil
Western Sydney University,Australia
Universidade Federal de Campina Grande,Brazil
Texas State University,United States
Frederick University,Cyprus
Queen Mary University of London,United Kingdom
University of Western Macedonia,Greece
Saitama University,Japan
Teikyo University,Japan
Universidade Federal De Lavras,Brazil
Universidade Federal de Viçosa,Brazil
Universidade Federal do Pará - Campus Tucuruí - UFPA,Brazil
Universidade Federal de Uberlândia - UFU,Brazil
Universidade Paulista - Campinas - Campus II,Brazil
Instituto Tecnológico de Buenos Aires,Argentina
Smt. Kashibai Navale College of Engineering,India
BITS Pilani KK Birla Goa Campus,India
G.V.Acharya Institute of Engineering & Technology,India
SRM Institute of Science and Technology NCR Campus,India
Graphic Era University,India
Vidyavardhini's College of Engineering and Technology,India
Rajarambapu Institute of Technology,India
Nagesh Karajagi Orchid College Of Engineering & Technology,India
Rajarshi Shahu College Of Engineering,India
Veer Surendra Sai University of Technology,India
National Institute of Technology - Rourkela,India
Universidad Tecnológica de Pereira,Colombia
Haldia Institute of Technology,India
Chandigarh University,India
Amity School of Engineering and Technology,India
Galgotias University,India
Acharya Institute of Technology,India
P.E.S. Modern College of Engineering,India
Kumaraguru College of Technology,India
Universidade Estadual do Oeste do Paraná,Brazil
Sardar Patel College of Engineering Mumbai,India
D. Y. Patil College of Engineering & Technology Kasaba Bawada Kolhapur,India
D Y Patil University Pune Ambi,India
Sinhgad Academy Of Engineering,India
MGM's Jawaharlal Nehru Engineering College,India
Indira Gandhi Delhi Technical University for Women,India
The National Institute of Engineering Mysore,India
Charotar University of Science and Technology,India
AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,India
Pimpri Chinchwad College Of Engineering,India
Dr. D. Y. Patil Institute Of Engineering and Technology,India
COEP Technological University,India
National Institute of Technology - Kurukshetra,India
PES University,India
Kalinga Institute of Industrial Technology,India
K L University,India
Madras Institute of Technology,India
MIT World Peace University,India
Fr Conceicao Rodrigues College of Engineering,India
University of Agder,Norway
DIT University,India
Middle East Technical University,Türkiye
Staffordshire University,United Kingdom
Çukurova University,Türkiye
Belgorod state technological university named after V. G. Shukhov,Russia
Salesian University School of Sarrià - EUSS,Spain
Gunma University,Japan
Tokyo Tech Car College Setagaya,Japan
Symbiosis Institute of Technology,India
Indian Institute of Technology Dhanbad,India
Amrutvahini College Of Engineering Sangamner,India
Lokmanya Tilak College of Engineering,India
NBN Sinhgad School Of Engineering,India
Vishwakarma Institute of Information Technology,India
KLE Technological University,India
Pellissippi State Community College,United States
Vishwakarma Institute of Technology,India
Saraswati College of Engineering,India
Lovely Professional University,India
Vaughn College of Aeronautics and Technology,United States
TSSM’s Bhivarabai Sawant College of Engineering & Research,India
Grand Canyon University,United States
Nitte Meenakshi Institute of Technology,India
Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,Mexico
Ufa State Aviation Technical University,Russia
Virginia Commonwealth University,United States
University of Brighton,United Kingdom
University of Salford,United Kingdom
Arab Academy for Science Technology & Maritime Transport (AASTMT),Egypt
Democritus University of Thrace,Greece
Cherepovets State University,Russia
Technische Hochschule Lübeck,Germany
Guangxi University of Science and Technology,China
Jilin University,China
Koblenz University of Applied Science,Germany
