Rank,Year,Points
211,2013,632
212,2012,628
213,2015,623
214,2021,623
215,2021,618
216,2014,617
217,2017,615
218,2016,612
219,2014,610
220,2016,608
221,2018,607
222,2019,606
223,2013,604
224,2019,601
225,2021,599
226,2015,599
227,2011,598
228,2012,597
229,2022,594
230,2022,592
231,2014,592
232,2013,592
233,2018,592
234,2011,592
235,2015,590
236,2016,589
237,2017,586
238,2015,585
239,2022,585
240,2017,585
241,2022,585
242,2019,584
243,2018,582
244,2015,581
245,2018,581
246,2021,580
247,2017,577
248,2013,576
249,2019,575
250,2019,573
251,2021,573
252,2013,571
253,2022,571
254,2021,570
255,2016,570
256,2018,569
257,2019,568
258,2014,568
259,2022,565
260,2017,563
261,2022,560
262,2016,559
263,2015,558
264,2017,556
265,2022,556
266,2012,555
267,2017,553
268,2019,550
269,2011,549
270,2018,548
271,2019,541
272,2021,541
273,2015,540
274,2013,540
275,2019,540
276,2014,537
277,2014,535
278,2013,534
279,2017,534
280,2015,532
281,2016,532
282,2018,529
283,2016,528
284,2021,528
285,2013,526
286,2019,522
287,2019,521
288,2013,520
289,2014,516
290,2015,515
291,2010,511
292,2021,510
293,2012,510
294,2013,508
295,2013,508
296,2021,506
297,2022,506
298,2019,504
299,2016,500
300,2018,500
301,2015,499
302,2018,499
303,2010,498
304,2012,498
305,2015,497
306,2016,496
307,2015,496
308,2021,495
309,2013,495
310,2019,495
311,2014,493
312,2018,490
313,2014,489
314,2019,489
315,2022,489
316,2021,488
317,2018,486
318,2018,484
319,2019,483
320,2010,482
321,2015,481
322,2022,480
323,2014,479
324,2014,479
325,2017,479
326,2012,477
327,2018,477
328,2022,476
329,2013,475
330,2019,475
331,2021,473
332,2016,472
333,2022,469
334,2021,469
335,2014,467
336,2013,467
337,2022,461
338,2022,461
339,2015,460
340,2017,459
341,2016,457
342,2013,456
343,2011,456
344,2018,454
345,2019,453
346,2013,450
347,2012,448
348,2019,447
349,2017,446
350,2018,442
351,2017,440
352,2022,440
353,2013,440
354,2017,438
355,2022,437
356,2016,436
357,2018,436
358,2019,435
359,2011,433
360,2021,433
361,2014,433
362,2021,433
363,2022,433
364,2012,430
365,2015,429
366,2015,429
367,2021,429
368,2018,428
369,2019,425
370,2022,424
371,2022,422
372,2017,422
373,2017,421
374,2022,421
375,2015,421
376,2022,421
377,2022,416
378,2022,416
379,2017,415
380,2015,411
381,2012,411
382,2022,409
383,2021,408
384,2012,406
385,2021,404
386,2017,403
387,2018,402
388,2022,396
389,2017,396
390,2018,395
391,2015,393
392,2022,393
393,2017,391
394,2021,391
395,2019,391
396,2014,391
397,2019,390
398,2015,389
399,2016,389
400,2022,388
401,2012,388
402,2012,386
403,2017,386
404,2015,384
405,2022,384
406,2013,384
407,2014,382
408,2022,382
409,2012,378
410,2022,378
411,2016,378
412,2018,375
413,2022,374
414,2012,374
415,2022,373
416,2019,372
417,2021,371
418,2022,370
419,2022,370
420,2019,370
421,2021,370
422,2018,369
423,2011,368
424,2016,366
425,2015,366
426,2016,364
427,2014,363
428,2022,363
429,2022,363
430,2018,362
431,2018,361
432,2013,361
433,2022,361
434,2015,360
435,2019,360
436,2017,360
437,2017,359
438,2017,357
439,2013,357
440,2013,356
441,2021,356
442,2021,356
443,2021,355
444,2012,355
445,2019,355
446,2017,355
447,2016,354
448,2019,351
449,2015,351
450,2022,350
451,2014,350
452,2019,350
453,2019,349
454,2022,347
455,2021,346
456,2015,344
457,2010,344
458,2012,344
459,2018,342
460,2015,342
461,2022,341
462,2016,340
463,2017,340
464,2021,339
465,2012,337
466,2022,337
467,2022,335
468,2014,335
469,2015,334
470,2014,334
471,2018,334
472,2012,333
473,2022,331
474,2014,330
475,2012,330
476,2022,330
477,2017,328
478,2011,325
479,2022,325
480,2016,324
481,2016,322
482,2019,322
483,2016,321
484,2015,321
485,2012,321
486,2014,321
487,2022,321
488,2012,321
489,2018,321
490,2016,315
491,2021,314
492,2022,312
493,2015,309
494,2014,308
495,2022,308
496,2022,308
497,2014,307
498,2017,304
499,2019,303
500,2013,302
501,2013,299
502,2011,299
503,2017,298
504,2022,298
505,2016,298
506,2014,297
507,2018,295
508,2017,295
509,2017,295
510,2018,294
511,2012,294
512,2014,293
513,2022,293
514,2022,293
515,2021,292
516,2019,292
517,2017,290
518,2012,290
519,2021,289
520,2021,289
521,2022,287
522,2014,286
523,2019,286
524,2014,285
525,2018,285
526,2013,284
527,2022,283
528,2022,282
529,2022,280
530,2014,280
531,2016,279
532,2021,277
533,2022,277
534,2022,277
535,2018,277
536,2022,276
537,2022,276
538,2013,275
539,2021,275
540,2019,275
541,2016,273
542,2022,273
543,2022,273
544,2022,273
545,2016,272
546,2022,272
547,2014,271
548,2014,270
549,2022,270
550,2014,269
551,2018,269
552,2022,268
553,2018,267
554,2013,266
555,2021,266
556,2017,266
557,2017,266
558,2017,266
559,2021,265
560,2011,265
561,2021,265
562,2022,264
563,2013,264
564,2016,262
565,2019,261
566,2014,261
567,2018,261
568,2019,260
569,2018,260
570,2013,259
571,2015,258
572,2022,258
573,2022,255
574,2021,255
575,2022,254
576,2022,254
577,2019,253
578,2022,253
579,2022,251
580,2011,251
581,2019,251
582,2022,250
583,2019,250
584,2021,250
585,2014,250
586,2016,249
587,2018,249
588,2021,249
589,2022,249
590,2022,248
591,2015,248
592,2011,247
593,2019,247
594,2022,246
595,2017,245
596,2016,245
597,2019,243
598,2022,243
599,2019,243
600,2015,243
601,2018,242
602,2012,242
603,2022,241
604,2016,240
605,2019,240
606,2021,239
607,2019,239
608,2017,238
609,2022,238
610,2019,236
611,2017,236
612,2021,235
613,2018,235
614,2012,235
615,2010,235
616,2021,234
617,2010,233
618,2018,233
619,2012,232
620,2022,232
621,2016,232
622,2015,231
623,2014,231
624,2012,230
625,2018,230
626,2018,230
627,2010,229
628,2011,229
629,2010,229
630,2013,229
631,2011,228
632,2018,228
633,2022,227
634,2022,227
635,2022,227
636,2021,226
637,2022,226
638,2022,226
639,2017,226
640,2019,226
641,2019,226
642,2014,226
643,2019,225
644,2018,225
645,2019,224
646,2022,223
647,2022,223
648,2015,223
649,2019,223
650,2017,223
651,2019,223
652,2019,222
653,2017,221
654,2012,221
655,2019,220
656,2016,218
657,2022,218
658,2019,217
659,2021,217
660,2022,216
661,2018,216
662,2015,215
663,2021,214
664,2022,214
665,2015,213
666,2010,213
667,2016,213
668,2022,212
669,2018,212
670,2018,212
671,2022,212
672,2022,212
673,2010,211
674,2011,211
675,2022,210
676,2011,210
677,2021,210
678,2016,210
679,2018,210
680,2022,209
681,2017,209
682,2022,209
683,2017,209
684,2022,208
685,2014,208
686,2022,208
687,2019,208
688,2022,208
689,2022,207
690,2019,207
691,2019,207
692,2021,206
693,2013,206
694,2022,205
695,2022,205
696,2022,204
697,2019,204
698,2019,203
699,2022,202
700,2014,202
701,2018,202
702,2018,202
703,2018,202
704,2014,201
705,2019,201
706,2022,200
707,2018,200
708,2015,200
709,2011,200
710,2012,200
711,2013,200
712,2019,200
713,2017,200
714,2018,199
715,2022,199
716,2015,199
717,2019,199
718,2015,198
719,2017,197
720,2011,197
721,2018,197
722,2018,197
723,2019,197
724,2017,196
725,2022,196
726,2018,195
727,2022,195
728,2015,195
729,2015,194
730,2021,194
731,2017,194
732,2019,193
733,2013,193
734,2019,193
735,2017,192
736,2018,192
737,2019,192
738,2015,192
739,2016,191
740,2021,191
741,2022,191
742,2022,190
743,2018,190
744,2016,190
745,2022,189
746,2019,189
747,2019,189
748,2019,189
749,2022,189
750,2018,188
751,2022,188
752,2019,187
753,2018,187
754,2017,186
755,2019,186
756,2019,186
757,2022,186
758,2022,186
759,2018,186
760,2016,185
761,2014,185
762,2021,185
763,2013,184
764,2022,184
765,2018,184
766,2016,183
767,2015,183
768,2017,183
769,2011,182
770,2018,182
771,2022,182
772,2016,182
773,2022,182
774,2022,182
775,2011,182
776,2016,182
777,2013,181
778,2014,180
779,2019,180
780,2017,180
781,2014,180
782,2014,180
783,2019,180
784,2017,180
785,2019,179
786,2022,178
787,2022,178
788,2015,178
789,2016,178
790,2022,177
791,2010,177
792,2022,177
793,2016,177
794,2022,176
795,2022,176
796,2019,175
797,2022,174
798,2022,174
799,2019,174
800,2022,173
801,2017,173
802,2018,172
803,2018,172
804,2019,172
805,2018,171
806,2014,171
807,2019,171
808,2017,171
809,2019,171
810,2011,171
811,2016,170
812,2017,170
813,2013,170
814,2017,169
815,2022,169
816,2021,168
817,2022,168
818,2022,168
819,2022,168
820,2011,167
821,2011,167
822,2017,167
823,2017,167
824,2018,166
825,2016,166
826,2019,166
827,2013,165
828,2014,165
829,2010,164
830,2010,164
831,2021,163
832,2017,163
833,2019,163
834,2019,162
835,2019,161
836,2016,161
837,2017,160
838,2016,159
839,2018,159
840,2013,158
841,2016,157
842,2017,157
843,2011,157
844,2022,156
845,2022,155
846,2022,155
847,2019,155
848,2013,155
849,2022,154
850,2016,154
851,2022,154
852,2012,154
853,2017,154
854,2015,154
855,2021,153
856,2013,153
857,2016,153
858,2019,153
859,2018,153
860,2021,152
861,2018,152
862,2016,151
863,2013,151
864,2022,151
865,2019,151
866,2012,150
867,2021,150
868,2022,150
869,2016,149
870,2017,149
871,2019,149
872,2010,149
873,2016,149
874,2017,149
875,2016,148
876,2019,147
877,2017,147
878,2017,147
879,2018,147
880,2018,146
881,2022,146
882,2018,146
883,2021,146
884,2018,146
885,2022,145
886,2019,145
887,2018,145
888,2014,144
889,2012,144
890,2022,144
891,2022,144
892,2019,143
893,2013,143
894,2022,143
895,2017,142
896,2015,141
897,2019,139
898,2019,139
899,2016,139
900,2017,138
901,2015,138
902,2019,136
903,2019,136
904,2019,136
905,2017,136
906,2022,136
907,2022,136
908,2017,135
909,2021,135
910,2019,135
911,2017,135
912,2017,135
913,2017,134
914,2022,134
915,2019,134
916,2011,133
917,2011,133
918,2017,133
919,2015,132
920,2015,132
921,2011,131
922,2015,131
923,2018,131
924,2022,131
925,2022,130
926,2022,130
927,2019,130
928,2017,130
929,2019,129
930,2013,129
931,2012,129
932,2018,128
933,2022,128
934,2017,127
935,2017,127
936,2016,126
937,2015,125
938,2012,125
939,2015,125
940,2018,124
941,2013,124
942,2018,123
943,2013,122
944,2018,122
945,2019,122
946,2018,121
947,2022,121
948,2015,121
949,2013,121
950,2022,121
951,2022,120
952,2018,120
953,2015,120
954,2014,119
955,2018,119
956,2017,119
957,2022,117
958,2022,117
959,2014,116
960,2018,116
961,2017,115
962,2013,115
963,2018,113
964,2017,112
965,2012,112
966,2018,112
967,2015,109
968,2022,108
969,2018,108
970,2014,107
971,2016,105
972,2022,105
973,2016,104
974,2019,104
975,2019,102
976,2019,102
977,2019,101
978,2019,101
979,2019,101
980,2018,100
981,2021,100
982,2016,98
983,2022,98
984,2018,96
985,2022,95
986,2022,95
987,2022,95
988,2019,94
989,2019,93
990,2018,92
991,2019,92
992,2012,91
993,2018,89
994,2019,89
995,2021,89
996,2019,88
997,2012,87
998,2018,87
999,2014,85
1000,2019,84
1001,2018,84
1002,2018,84
1003,2015,83
1004,2016,83
1005,2022,83
1006,2019,83
1007,2016,82
1008,2015,81
1009,2018,81
1010,2013,80
1011,2013,79
1012,2018,79
1013,2021,79
1014,2018,78
1015,2018,77
1016,2019,76
1017,2013,75
1018,2014,75
1019,2017,72
1020,2022,71
1021,2022,70
1022,2016,70
1023,2022,69
1024,2016,69
1025,2021,67
1026,2022,66
1027,2022,66
1028,2012,66
1029,2015,66
1030,2022,65
1031,2017,65
1032,2018,64
1033,2013,64
1034,2014,63
1035,2019,63
1036,2022,63
1037,2015,62
1038,2021,60
1039,2014,60
1040,2018,59
1041,2015,58
1042,2022,58
1043,2015,57
1044,2022,55
1045,2011,54
1046,2022,54
1047,2011,53
1048,2019,52
1049,2018,52
1050,2018,52
1051,2022,51
1052,2018,50
1053,2019,50
1054,2017,49
1055,2022,48
1056,2011,46
1057,2019,43
1058,2021,43
1059,2013,42
1060,2022,42
1061,2019,40
1062,2017,40
1063,2014,40
1064,2013,38
1065,2015,36
1066,2018,36
1067,2014,32
1068,2012,32
1069,2017,29
1070,2015,22
1071,2016,22
1072,2016,22
1073,2014,21
1074,2015,19
1075,2012,19
1076,2015,18
1077,2021,17
1078,2019,17
1079,2012,16
1080,2019,12
1081,2019,12
1082,2016,8
1083,2014,7
1084,2012,7
1085,2014,6
1086,2021,4
1087,2022,4
1088,2017,3
